id,name,location,categories,rating,description,image_url
1,Circus Circus Hotel & Casino,Las Vegas,city entertainment budget family friendly amusement,3.5,A classic Vegas hotel with a circus theme,https://images.unsplash.com/photo-1605810230434-7631ac76ec81?w=800&q=80
2,Eiffel Tower,Paris,city culture romantic history,4.8,Iconic iron lattice tower on the Champ de Mars,https://images.unsplash.com/photo-1511739001486-6bfe10ce785f?w=800&q=80
3,Waikiki Beach,Hawaii,beach relaxation nature wellness spa,4.7,Famous beach known for surfing and beautiful sunsets,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800&q=80
4,Banff National Park,Canada,mountain nature adventure wildlife safari,4.9,Canada's oldest national park located in the Rocky Mountains,https://images.unsplash.com/photo-1561134643-66c3abfc9e8e?w=800&q=80
5,Kyoto Temples,Japan,culture history peaceful wellness spa,4.8,Historic city with numerous classical Buddhist temples,https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e?w=800&q=80
6,Maldives Resorts,Maldives,beach luxury romantic relaxation,4.9,Tropical nation in the Indian Ocean known for its beaches and blue lagoons,https://images.unsplash.com/photo-1514282401047-d79a71a590e8?w=800&q=80
7,Machu Picchu,Peru,mountain history adventure culture,4.9,15th-century Inca citadel set high in the Andes Mountains,https://images.unsplash.com/photo-1526392060635-c0f5f7f32d84?w=800&q=80
8,New York City,USA,city entertainment shopping food culinary,4.7,Bustling metropolis known for Times Square and Central Park,https://images.unsplash.com/photo-1496442226666-8d4d0e62e6e9?w=800&q=80
9,Santorini,Greece,beach romantic culture history food,4.8,"Island in the Aegean Sea famous for its white-washed, cubiform houses",https://images.unsplash.com/photo-1533105079780-92b9be482077?w=800&q=80
10,Swiss Alps,Switzerland,mountain adventure luxury winter sports snow,4.9,Stunning mountain range ideal for skiing and hiking,https://images.unsplash.com/photo-1530122037265-a5f1f91d3b99?w=800&q=80
